기준연도,시군명,총인구,총인구_남,총인구_여,내국인_세대수,내국인_총인구,내국인_남,내국인_여,등록외국인_총인구,등록외국인_남,등록외국인_여,관광객수
2023,가평군,"63,488","32,650","30,838","32,606","62,302","32,137","30,165","1,186",513,673,"26,926,952"
2023,고양시,"1,087,607","530,804","556,803","464,380","1,074,907","524,368","550,539","12,700","6,436","6,264","167,874,170"
2023,과천시,"81,219","39,785","41,434","29,194","81,000","39,687","41,313",219,98,121,20476628
2023,광명시,"283,124","138,939","144,185","115,114","280,197","137,512","142,685","2,927","1,427","1,500","40,908,151"
2023,광주시,"404,270","208,497","195,773","170,845","391,377","199,601","191,776","12,893","8,896","3,997",46240850
2023,구리시,"188,634","93,256","95,378","80,450","187,093","92,559","94,534","1,541",697,844,45185437
2023,군포시,"267,009","132,512","134,497","113,032","261,229","129,573","131,656","5,780","2,939","2,841",26288985
2023,김포시,"508,800","260,163","248,637","204,594","486,172","242,801","243,371","22,628","17,362","5,266",51426068
2023,남양주시,"740,780","368,164","372,616","304,768","732,265","363,190","369,075","8,515","4,974","3,541",73044933
2023,동두천시,"92,414","46,385","46,029","43,366","88,626","44,198","44,428","3,788","2,187","1,601","9,775,409"
2023,부천시,"806,356","398,831","407,525","344,096","779,968","385,531","394,437","26,388","13,300","13,088","72,149,246"
2023,성남시,"935,966","462,885","473,081","409,602","919,747","455,137","464,610","16,219","7,748","8,471","155,816,986"
2023,수원시,"1,233,431","620,188","613,243","537,078","1,197,257","602,346","594,911","36,174","17,842","18,332","206,350,745"
2023,시흥시,"556,903","293,261","263,642","228,474","519,715","271,236","248,479","37,188","22,025","15,163",53224244
2023,안산시,"681,529","351,514","330,015","288,567","629,308","322,328","306,980","52,221","29,186","23,035","79,790,541"
2023,안성시,"202,849","106,573","96,276","91,026","189,034","97,738","91,296","13,815","8,835","4,980",35864168
2023,안양시,"551,112","272,015","279,097","227,627","544,660","268,911","275,749","6,452","3,104","3,348","71,670,389"
2023,양주시,"276,660","141,711","134,949","117,518","268,026","135,376","132,650","8,634","6,335","2,299",35035340
2023,양평군,"126,741","63,516","63,225","61,811","125,238","62,801","62,437","1,503",715,788,30964850
2023,여주시,"118,536","60,875","57,661","55,514","114,412","58,177","56,235","4,124","2,698","1,426",25489910
2023,연천군,"42,768","22,664","20,104","21,943","41,584","21,776","19,808","1,184",888,296,9131426
2023,오산시,"239,159","124,641","114,518","104,437","229,656","119,722","109,934","9,503","4,919","4,584",28571635
2023,용인시,"1,094,561","544,311","550,250","435,340","1,075,566","533,387","542,179","18,995","10,924","8,071","142,818,974"
2023,의왕시,"159,932","79,348","80,584","64,402","158,870","78,829","80,041","1,062",519,543,28876941
2023,의정부시,"469,936","230,761","239,175","209,891","464,213","228,163","236,050","5,723","2,598","3,125","43,586,812"
2023,이천시,"231,265","121,409","109,856","103,793","222,098","115,622","106,476","9,167","5,787","3,380",37679009
2023,파주시,"511,530","262,248","249,282","220,158","497,753","252,159","245,594","13,777","10,089","3,688","53,548,415"
2023,평택시,"619,844","327,364","292,480","279,835","591,022","310,473","280,549","28,822","16,891","11,931","48,904,652"
2023,포천시,"157,992","87,033","70,959","72,876","143,323","75,837","67,486","14,669","11,196","3,473","28,850,891"
2023,하남시,"332,359","165,433","166,926","141,764","329,861","164,202","165,659","2,498","1,231","1,267",56530305
2023,화성시,"989,676","523,591","466,085","404,623","944,342","490,518","453,824","45,334","33,073","12,261","100,148,132"
2022,가평군,"63,235","32,570","30,665","32,140","62,150","32,102","30,048","1,085",468,617,29027749
2022,고양시,"1,088,153","531,564","556,589","461,459","1,076,535","525,741","550,794","11,618","5,823","5,795","67,815,275"
2022,과천시,"78,329","38,516","39,813","28,726","78,137","38,416","39,721",192,100,92,20184048
2022,광명시,"291,160","143,210","147,950","118,493","287,945","141,632","146,313","3,215","1,578","1,637",40052856
2022,광주시,"402,764","207,309","195,455","170,497","391,462","199,707","191,755","11,302","7,602","3,700",47019535
2022,구리시,"190,210","94,171","96,039","80,424","188,701","93,442","95,259","1,509",729,780,44795778
2022,군포시,"271,745","134,912","136,833","113,878","266,213","132,165","134,048","5,532","2,747","2,785",25562357
2022,김포시,"504,107","256,886","247,221","202,189","484,267","241,904","242,363","19,840","14,982","4,858",50965297
2022,남양주시,"745,116","370,795","374,321","304,288","737,353","366,261","371,092","7,763","4,534","3,229",72665099
2022,동두천시,"95,100","47,809","47,291","43,973","91,546","45,673","45,873","3,554","2,136","1,418",9464987
2022,부천시,"814,315","403,250","411,065","344,135","790,128","391,102","399,026","24,187","12,148","12,039",69965132
2022,성남시,"936,989","463,791","473,198","408,195","922,518","456,882","465,636","14,471","6,909","7,562","71,499,271"
2022,수원시,"1,225,058","616,628","608,430","528,482","1,190,964","599,619","591,345","34,094","17,009","17,085","94,513,298"
2022,시흥시,"546,051","287,531","258,520","223,534","512,912","267,861","245,051","33,139","19,670","13,469",53060961
2022,안산시,"690,777","356,258","334,519","291,091","641,660","328,940","312,720","49,117","27,318","21,799","78,136,889"
2022,안성시,"200,932","105,192","95,740","89,951","188,842","97,581","91,261","12,090","7,611","4,479",37138081
2022,안양시,"554,347","273,818","280,529","227,475","548,228","270,878","277,350","6,119","2,940","3,179","69,778,976"
2022,양주시,"250,920","128,711","122,209","106,361","243,432","123,173","120,259","7,488","5,538","1,950",33134871
2022,양평군,"123,704","62,096","61,608","59,788","122,323","61,495","60,828","1,381",601,780,33012954
2022,여주시,"116,652","59,782","56,870","53,946","113,150","57,567","55,583","3,502","2,215","1,287",26141816
2022,연천군,"43,050","22,853","20,197","21,858","42,062","22,113","19,949",988,740,248,9016102
2022,오산시,"238,418","124,010","114,408","103,552","229,849","119,646","110,203","8,569","4,364","4,205",28643406
2022,용인시,"1,092,294","543,091","549,203","432,151","1,074,971","533,323","541,648","17,323","9,768","7,555","140,033,952"
2022,의왕시,"161,204","79,879","81,325","64,839","160,221","79,417","80,804",983,462,521,28599850
2022,의정부시,"468,659","230,354","238,305","208,352","463,724","228,107","235,617","4,935","2,247","2,688",41561395
2022,이천시,"230,134","120,387","109,747","102,618","222,721","115,925","106,796","7,413","4,462","2,951",40027852
2022,파주시,"507,448","260,075","247,373","218,264","495,315","251,334","243,981","12,133","8,741","3,392",54250532
2022,평택시,"603,780","317,847","285,933","271,362","578,529","303,283","275,246","25,251","14,564","10,687",47100726
2022,포천시,"160,066","88,008","72,058","73,438","146,701","77,707","68,994","13,365","10,301","3,064",30226256
2022,하남시,"328,393","163,960","164,433","140,415","326,059","162,773","163,286","2,334","1,187","1,147",56645878
2022,화성시,"949,187","500,880","448,307","387,820","910,814","473,507","437,307","38,373","27,373","11,000",97659269
2021,가평군,"63,268","32,548","30,720","31,775","62,264","32,129","30,135","1,004",419,585,25676500
2021,고양시,"1,090,339","533,497","556,842","456,852","1,079,353","528,094","551,259","10,986","5,403","5,583","159,784,611"
2021,과천시,"73,528","36,196","37,332","27,262","73,345","36,092","37,253",183,104,79,17464050
2021,광명시,"296,471","146,142","150,329","119,817","292,893","144,384","148,509","3,578","1,758","1,820",35779409
2021,광주시,"398,225","204,932","193,293","167,673","387,289","197,673","189,616","10,936","7,259","3,677",46811576
2021,구리시,"193,351","95,852","97,499","80,616","191,948","95,172","96,776","1,403",680,723,44502613
2021,군포시,"274,100","136,000","138,100","113,205","268,535","133,246","135,289","5,565","2,754","2,811",23400744
2021,김포시,"504,267","256,642","247,625","200,846","486,508","243,415","243,093","17,759","13,227","4,532",49908904
2021,남양주시,"740,856","369,120","371,736","299,156","733,798","365,103","368,695","7,058","4,017","3,041",69184195
2021,동두천시,"96,860","48,634","48,226","44,369","93,592","46,694","46,898","3,268","1,940","1,328",8663852
2021,부천시,"829,846","411,479","418,367","347,024","806,067","399,484","406,583","23,779","11,995","11,784",64373106
2021,성남시,"945,037","467,875","477,162","409,320","930,948","461,131","469,817","14,089","6,744","7,345","137,060,081"
2021,수원시,"1,216,965","612,695","604,270","517,822","1,183,714","595,933","587,781","33,251","16,762","16,489","181,812,424"
2021,시흥시,"543,553","285,977","257,576","220,421","512,030","267,423","244,607","31,523","18,554","12,969",52072844
2021,안산시,"700,138","361,117","339,021","292,113","652,726","334,646","318,080","47,412","26,471","20,941","74,467,530"
2021,안성시,"200,408","104,828","95,580","89,118","189,534","97,895","91,639","10,874","6,933","3,941",34719092
2021,안양시,"553,249","273,428","279,821","224,620","547,178","270,496","276,682","6,071","2,932","3,139","63,005,526"
2021,양주시,"243,071","124,729","118,342","102,314","236,368","119,835","116,533","6,703","4,894","1,809",30475796
2021,양평군,"122,539","61,451","61,088","59,094","121,230","60,846","60,384","1,309",605,704,31778107
2021,여주시,"115,317","58,992","56,325","52,731","112,150","57,022","55,128","3,167","1,970","1,197",24593238
2021,연천군,"43,553","22,994","20,559","22,002","42,721","22,399","20,322",832,595,237,8700016
2021,오산시,"238,579","123,753","114,826","102,161","229,983","119,409","110,574","8,596","4,344","4,252",23970182
2021,용인시,"1,093,665","543,579","550,086","429,492","1,077,508","534,459","543,049","16,157","9,120","7,037","131,711,169"
2021,의왕시,"164,363","81,616","82,747","65,734","163,356","81,148","82,208","1,007",468,539,25917420
2021,의정부시,"468,339","230,679","237,660","205,792","463,661","228,538","235,123","4,678","2,141","2,537",38987138
2021,이천시,"229,854","119,724","110,130","101,417","223,177","115,727","107,450","6,677","3,997","2,680",37122188
2021,파주시,"493,503","252,231","241,272","211,916","483,245","245,085","238,160","10,258","7,146","3,112",50951894
2021,평택시,"588,046","307,488","280,558","262,097","564,288","293,954","270,334","23,758","13,534","10,224",41786373
2021,포천시,"160,209","87,490","72,719","73,584","148,939","78,915","70,024","11,270","8,575","2,695",28452691
2021,하남시,"322,271","161,279","160,992","138,764","320,087","160,163","159,924","2,184","1,116","1,068",54477759
2021,화성시,"922,092","485,329","436,763","372,888","887,015","460,788","426,227","35,077","24,541","10,536",90629181
