시군명,기준년월,월별신규가입자수(명),월별충전액(천원),월별사용액(천원)
가평군,2022-12,814,3600881,3996840
가평군,2022-11,701,4356413,3673972
가평군,2022-10,657,3205893,3586395
가평군,2022-09,832,4334836,3773560
가평군,2022-08,858,3091351,3600543
가평군,2022-07,1173,3600881,3996840
가평군,2022-06,572,2771279,2681386
가평군,2022-05,627,2784295,2810484
가평군,2022-04,641,2585608,2600843
가평군,2022-03,481,2393457,2418270
가평군,2022-02,427,2063838,1920192
가평군,2022-01,508,2231347,2236009
가평군,2021-12,720,2217684,2080642
가평군,2021-11,1298,2028329,1738929
가평군,2021-10,1399,1246495,1228840
가평군,2021-09,1510,1588997,1664223
가평군,2021-08,618,1588997,1664223
가평군,2021-07,735,1588997,1664223
가평군,2021-06,1667,1822772,1754161
가평군,2021-05,614,1402675,1365784
가평군,2021-04,991,1436820,1305523
가평군,2021-03,1084,912711,805968
가평군,2021-02,1809,912711,805968
가평군,2021-01,598,992759,1011708
가평군,2020-12,579,1177615,1121896
가평군,2020-11,524,1014259,991877
가평군,2020-10,550,921618,952087
가평군,2020-09,862,1052610,964030
가평군,2020-08,312,597319,661956
가평군,2020-07,533,676234,732454
가평군,2020-06,398,616944,518214
가평군,2020-05,3425,713833,642870
가평군,2020-04,6835,639698,477477
가평군,2020-03,655,389311,297771
가평군,2020-02,211,180458,230384
가평군,2020-01,338,288742,247582
가평군,2019-12,289,247214,201657
가평군,2019-11,179,139483,188567
가평군,2019-10,325,257462,212087
가평군,2019-09,428,233151,172358
가평군,2019-08,272,100956,138322
가평군,2019-07,389,207542,113448
가평군,2019-06,238,84932,75007
가평군,2019-05,506,109979,59447
가평군,2019-04,87,8870,2187
가평군,2019-03,1,,
가평군,2019-02,,,
가평군,2019-01,,,
고양시,2022-12,3916,15077587,13792439
고양시,2022-11,3563,12957332,13942993
고양시,2022-10,5134,14457777,14619111
고양시,2022-09,5300,13585894,15383268
고양시,2022-08,7144,12613223,18201721
고양시,2022-07,9200,15077587,13792439
고양시,2022-06,6203,32092510,24757007
고양시,2022-05,5984,23866863,25809838
고양시,2022-04,6159,26050438,24929350
고양시,2022-03,4939,24939125,24047543
고양시,2022-02,6016,21257338,20602720
고양시,2022-01,6621,22668503,23750970
고양시,2021-12,9234,22992338,22803618
고양시,2021-11,19372,27417988,18367231
고양시,2021-10,15312,8916808,9264285
고양시,2021-09,12099,12641746,19930722
고양시,2021-08,8878,12641746,19930722
고양시,2021-07,9414,12641746,19930722
고양시,2021-06,42692,32240336,30107447
고양시,2021-05,10276,23026400,23133774
고양시,2021-04,15857,24135989,21475052
고양시,2021-03,18749,17652128,13760292
고양시,2021-02,24208,17652128,13760292
고양시,2021-01,15728,15152425,15299152
고양시,2020-12,7511,8159264,13731511
고양시,2020-11,10341,21892388,21763372
고양시,2020-10,10941,18871423,22812605
고양시,2020-09,20944,25220665,21980525
고양시,2020-08,7545,22718749,16103409
고양시,2020-07,16520,10801299,14345199
고양시,2020-06,7044,7521775,13476552
고양시,2020-05,60602,24391234,14063170
고양시,2020-04,113877,10835285,8742604
고양시,2020-03,10166,8183828,6663098
고양시,2020-02,5041,6134958,5866688
고양시,2020-01,6758,9669657,6403636
고양시,2019-12,6994,9138695,5652073
고양시,2019-11,3448,2397604,4583013
고양시,2019-10,5024,4542746,4017911
고양시,2019-09,5421,6220822,4437004
고양시,2019-08,8535,6035427,4859241
고양시,2019-07,11964,6565309,2688638
고양시,2019-06,4368,1094818,1478659
고양시,2019-05,13077,3133495,1021417
고양시,2019-04,76,9255,1370
고양시,2019-03,,,
고양시,2019-02,,,
고양시,2019-01,,,
과천시,2022-12,724,3619039,3622045
과천시,2022-11,784,3260446,3711381
과천시,2022-10,1586,3384478,5104463
과천시,2022-09,3270,5848233,6889010
과천시,2022-08,11130,9959424,6458115
과천시,2022-07,1592,3619039,3622045
과천시,2022-06,975,2946328,3409087
과천시,2022-05,1088,4187919,4095146
과천시,2022-04,1083,4452047,3387418
과천시,2022-03,1030,2665862,2957010
과천시,2022-02,1195,2316384,2680151
과천시,2022-01,1150,3833982,2966064
과천시,2021-12,1268,2503445,2993251
과천시,2021-11,1772,3111520,2586784
과천시,2021-10,1846,1773507,1705601
과천시,2021-09,1277,3477490,3762537
과천시,2021-08,1342,3477490,3762537
과천시,2021-07,1263,3477490,3762537
과천시,2021-06,3546,4523961,3895002
과천시,2021-05,1207,3351484,3316942
과천시,2021-04,1848,3272872,3050862
과천시,2021-03,1997,2315752,1923395
과천시,2021-02,1975,2315752,1923395
과천시,2021-01,1556,2509252,2307308
과천시,2020-12,781,1651913,2075858
과천시,2020-11,981,2409712,2287637
과천시,2020-10,994,2224257,2286972
과천시,2020-09,1884,2231788,2373914
과천시,2020-08,852,1696814,1973027
과천시,2020-07,1263,2173031,1917034
과천시,2020-06,701,1676340,1353920
과천시,2020-05,2143,1390776,1051715
과천시,2020-04,8257,1617007,940438
과천시,2020-03,1004,1147878,720665
과천시,2020-02,366,381205,594092
과천시,2020-01,935,1107789,702411
과천시,2019-12,436,492514,548608
과천시,2019-11,297,304364,535891
과천시,2019-10,961,786699,616182
과천시,2019-09,1171,866317,468413
과천시,2019-08,444,242187,349798
과천시,2019-07,580,361577,346299
과천시,2019-06,600,163510,291385
과천시,2019-05,2356,738301,164238
과천시,2019-04,99,25376,1162
과천시,2019-03,,,
과천시,2019-02,,,
과천시,2019-01,,,
광명시,2022-12,2321,11189446,10721247
광명시,2022-11,1775,9624174,10293105
광명시,2022-10,2100,10448334,10794021
광명시,2022-09,2380,10679889,11523158
광명시,2022-08,2745,9423327,12093099
광명시,2022-07,3134,11189446,10721247
광명시,2022-06,2105,15864390,11716580
광명시,2022-05,2055,9589073,10744911
광명시,2022-04,2433,10618075,10423870
광명시,2022-03,2028,9433363,9945286
광명시,2022-02,2100,7489115,8772664
광명시,2022-01,2244,9849251,11135506
광명시,2021-12,3085,10956603,9944177
광명시,2021-11,4285,10941086,8530007
광명시,2021-10,4927,5945958,5992569
광명시,2021-09,6851,7590463,10095707
광명시,2021-08,5185,7590463,10095707
광명시,2021-07,5160,7590463,10095707
광명시,2021-06,10832,14788258,11750789
광명시,2021-05,2637,9377349,9567379
광명시,2021-04,4610,9392377,8719283
광명시,2021-03,5094,6043489,5358256
광명시,2021-02,8338,6043489,5358256
광명시,2021-01,5291,6346190,6811978
광명시,2020-12,3307,8118857,6991235
광명시,2020-11,3119,7880494,7245906
광명시,2020-10,3603,6729996,7218227
광명시,2020-09,6892,7013531,6851110
광명시,2020-08,2240,4151462,5334111
광명시,2020-07,6761,7448631,5553208
광명시,2020-06,3506,5191954,3993955
광명시,2020-05,22779,4820262,3501908
광명시,2020-04,21799,3323583,2231284
광명시,2020-03,6608,1816691,1364922
광명시,2020-02,2064,1712842,1132528
광명시,2020-01,1842,1460775,1201056
광명시,2019-12,1328,1307969,931750
광명시,2019-11,651,524585,889573
광명시,2019-10,1742,1349211,862165
광명시,2019-09,1038,497664,701032
광명시,2019-08,1256,628310,960015
광명시,2019-07,2997,1693869,884905
광명시,2019-06,1246,354583,544691
광명시,2019-05,3830,1010098,531315
광명시,2019-04,1477,502905,66934
광명시,2019-03,9,,
광명시,2019-02,,,
광명시,2019-01,,,
광주시,2022-12,2454,30221391,23521071
광주시,2022-11,1652,16804920,19261121
광주시,2022-10,1892,18930611,20639611
광주시,2022-09,2198,16409232,22534864
광주시,2022-08,3071,30757937,24776814
광주시,2022-07,3678,30221391,23521071
광주시,2022-06,2556,24828719,23414387
광주시,2022-05,2504,23641363,23687402
광주시,2022-04,2354,21940622,22383789
광주시,2022-03,2114,21077274,21462299
광주시,2022-02,2034,17494995,17690329
광주시,2022-01,2309,18686418,21125474
광주시,2021-12,3307,23803279,20506825
광주시,2021-11,4704,21660686,17102184
광주시,2021-10,5771,11401084,11243615
광주시,2021-09,8441,12575101,16722127
광주시,2021-08,3659,12575101,16722127
광주시,2021-07,9674,12575101,16722127
광주시,2021-06,27786,25219165,19994994
광주시,2021-05,65234,13952947,12094888
광주시,2021-04,9060,13321049,12608204
광주시,2021-03,6676,9002159,7854216
광주시,2021-02,9412,9002159,7854216
광주시,2021-01,5028,9606261,10282394
광주시,2020-12,3635,11846680,10765924
광주시,2020-11,3203,10205139,9821290
광주시,2020-10,3368,9149383,9420328
광주시,2020-09,5885,10053666,9593202
광주시,2020-08,2537,6723209,7705561
광주시,2020-07,5980,8568562,7997727
광주시,2020-06,10557,6643099,5646692
광주시,2020-05,51184,5864519,4777641
광주시,2020-04,30144,4030085,3044231
광주시,2020-03,4528,3417305,2522458
광주시,2020-02,1812,1412908,1904151
광주시,2020-01,2095,2554825,2128133
광주시,2019-12,2265,2185166,1840286
광주시,2019-11,1998,1568215,1640547
광주시,2019-10,2772,1897470,1232005
광주시,2019-09,1279,720675,611891
광주시,2019-08,1157,378842,656843
광주시,2019-07,1977,1067973,619798
광주시,2019-06,1336,388335,455882
광주시,2019-05,4128,1140948,486051
광주시,2019-04,740,79277,13738
광주시,2019-03,,,
광주시,2019-02,,,
광주시,2019-01,,,
구리시,2022-12,1337,10746181,9173429
구리시,2022-11,1287,7349505,7993386
구리시,2022-10,1442,11050035,9052380
구리시,2022-09,1760,8997902,9197502
구리시,2022-08,2152,8844765,9520767
구리시,2022-07,2307,10746181,9173429
구리시,2022-06,3378,7967732,9326824
구리시,2022-05,18969,11306436,13181766
구리시,2022-04,6943,13383565,8548897
구리시,2022-03,1320,7202305,7009119
구리시,2022-02,1482,5999522,5913761
구리시,2022-01,1687,6643119,6765550
구리시,2021-12,2040,6068617,6314405
구리시,2021-11,3259,5901641,5585155
구리시,2021-10,3375,4517658,4627286
구리시,2021-09,4611,6097954,6556601
구리시,2021-08,2007,6097954,6556601
구리시,2021-07,2145,6097954,6556601
구리시,2021-06,4460,7591188,7058404
구리시,2021-05,1620,6075208,6135291
구리시,2021-04,2725,6309657,5790076
구리시,2021-03,3352,4062873,3846032
구리시,2021-02,5096,4062873,3846032
구리시,2021-01,2715,4255590,4877310
구리시,2020-12,2099,5865095,4754559
구리시,2020-11,1650,4824203,4743637
구리시,2020-10,1806,4340830,4873221
구리시,2020-09,3060,4636510,4728126
구리시,2020-08,2256,3169232,3885413
구리시,2020-07,5879,4307178,3925072
구리시,2020-06,10273,4262372,2391153
구리시,2020-05,23609,2985817,2494217
구리시,2020-04,30323,2039056,1362573
구리시,2020-03,3604,1573624,967174
구리시,2020-02,884,779041,701499
구리시,2020-01,1289,958042,831592
구리시,2019-12,1182,1206967,745319
구리시,2019-11,505,263086,611937
구리시,2019-10,1462,1106018,679158
구리시,2019-09,1084,591082,429976
구리시,2019-08,610,195288,516560
구리시,2019-07,1527,801086,523667
구리시,2019-06,1359,509439,387779
구리시,2019-05,2625,693291,116924
구리시,2019-04,,,
구리시,2019-03,,,
구리시,2019-02,,,
구리시,2019-01,,,
군포시,2022-12,2257,14411794,14258138
군포시,2022-11,1926,13540110,13626199
군포시,2022-10,2367,14020299,14187826
군포시,2022-09,2566,14032083,14605383
군포시,2022-08,3322,13662816,15671515
군포시,2022-07,3972,14411794,14258138
군포시,2022-06,2578,17918641,16111566
군포시,2022-05,2297,15994841,16802768
군포시,2022-04,2434,16160118,16189779
군포시,2022-03,2158,15224367,15406910
군포시,2022-02,2276,12767981,13159951
군포시,2022-01,2521,13582205,15881472
군포시,2021-12,3235,16423082,15879495
군포시,2021-11,4618,16670653,13701938
군포시,2021-10,6039,10083499,9853569
군포시,2021-09,6731,13735281,13610282
군포시,2021-08,3642,13735281,13610282
군포시,2021-07,3707,13735281,13610282
군포시,2021-06,9774,15362245,14155516
군포시,2021-05,2908,11440191,11773125
군포시,2021-04,5638,11202672,11390065
군포시,2021-03,4756,8468384,7689732
군포시,2021-02,8321,8468384,7689732
군포시,2021-01,4452,8951603,9831917
군포시,2020-12,3564,11206381,9576097
군포시,2020-11,3067,9813402,9495058
군포시,2020-10,3214,8822107,9194072
군포시,2020-09,5625,9592961,8789646
군포시,2020-08,2047,5704424,6600190
군포시,2020-07,4917,5737778,7091100
군포시,2020-06,2381,7907352,5552418
군포시,2020-05,16685,6310698,4959716
군포시,2020-04,42637,5374339,4204775
군포시,2020-03,6334,4263997,3047797
군포시,2020-02,1687,1510611,2493120
군포시,2020-01,3076,4112492,3165515
군포시,2019-12,2003,3962529,2832124
군포시,2019-11,843,1442764,2201774
군포시,2019-10,1785,1987328,2435273
군포시,2019-09,2810,3840776,2233807
군포시,2019-08,1434,1112362,1874745
군포시,2019-07,2219,1980499,2154009
군포시,2019-06,3427,2379979,1688951
군포시,2019-05,6147,2341957,1061666
군포시,2019-04,1866,736934,160255
군포시,2019-03,,,
군포시,2019-02,,,
군포시,2019-01,,,
김포시,2022-12,,,
김포시,2022-11,,,
김포시,2022-10,,,
김포시,2022-09,,,
김포시,2022-08,,,
김포시,2022-07,,0,0
김포시,2022-06,,,
김포시,2022-05,,,
김포시,2022-04,,,
김포시,2022-03,,,
김포시,2022-02,,,
김포시,2022-01,,,
김포시,2021-12,,,
김포시,2021-11,,,
김포시,2021-10,,,
김포시,2021-09,,,
김포시,2021-08,,,
김포시,2021-07,,,
김포시,2021-06,,,
김포시,2021-05,,,
김포시,2021-04,,,
김포시,2021-03,,,
김포시,2021-02,,,
김포시,2021-01,,,
김포시,2020-12,,,
김포시,2020-11,,,
김포시,2020-10,,,
김포시,2020-09,,,
김포시,2020-08,,,
김포시,2020-07,,,
김포시,2020-06,,,
김포시,2020-05,,,
김포시,2020-04,,,
김포시,2020-03,,,
김포시,2020-02,,,
김포시,2020-01,,,
김포시,2019-12,,,
김포시,2019-11,,,
김포시,2019-10,,,
김포시,2019-09,,,
김포시,2019-08,,,
김포시,2019-07,,,
김포시,2019-06,,,
김포시,2019-05,,,
김포시,2019-04,,,
김포시,2019-03,,,
김포시,2019-02,,,
김포시,2019-01,,,
남양주시,2022-12,4073,22715053,21689647
남양주시,2022-11,3439,19313503,20646873
남양주시,2022-10,4236,21610071,22417038
남양주시,2022-09,4684,22975537,22583510
남양주시,2022-08,5172,13575381,23333168
남양주시,2022-07,6590,22715053,21689647
남양주시,2022-06,4306,27266318,23688022
남양주시,2022-05,3913,23608793,24752046
남양주시,2022-04,5107,24129408,23207255
남양주시,2022-03,3300,22689503,21945623
남양주시,2022-02,4314,18315029,18109985
남양주시,2022-01,4959,19937736,20515198
남양주시,2021-12,6611,18684809,19642584
남양주시,2021-11,16882,19395154,17522613
남양주시,2021-10,12136,13794057,13864451
남양주시,2021-09,12983,14971346,18117107
남양주시,2021-08,5645,14971346,18117107
남양주시,2021-07,5689,14971346,18117107
남양주시,2021-06,18041,22569619,20472661
남양주시,2021-05,5381,17191981,16884325
남양주시,2021-04,8857,17224083,15724417
남양주시,2021-03,9903,11003701,8977763
남양주시,2021-02,17003,11003701,8977763
남양주시,2021-01,10347,9384739,11482739
남양주시,2020-12,6795,14678545,12146070
남양주시,2020-11,5787,12737052,12087602
남양주시,2020-10,5674,11228473,12100844
남양주시,2020-09,10994,10885317,11080752
남양주시,2020-08,4061,7655048,9086630
남양주시,2020-07,11473,12018669,9986295
남양주시,2020-06,5399,8817257,7722837
남양주시,2020-05,31334,9153440,7633818
남양주시,2020-04,75201,6028294,3984384
남양주시,2020-03,4853,3607498,2855760
남양주시,2020-02,3432,3016233,2536472
남양주시,2020-01,3842,2468440,2822584
남양주시,2019-12,4123,3936730,2669880
남양주시,2019-11,2146,1571787,2183736
남양주시,2019-10,4396,3434683,1922439
남양주시,2019-09,2297,1644304,1233830
남양주시,2019-08,1643,645594,1403210
남양주시,2019-07,3630,2021227,1383395
남양주시,2019-06,1911,601904,1196121
남양주시,2019-05,8926,3084237,978176
남양주시,2019-04,714,188922,8609
남양주시,2019-03,,,
남양주시,2019-02,,,
남양주시,2019-01,,,
동두천시,2022-12,626,2802539,2797381
동두천시,2022-11,535,2401828,2652002
동두천시,2022-10,557,2605942,2831027
동두천시,2022-09,637,2918715,2961401
동두천시,2022-08,947,2399150,3574799
동두천시,2022-07,2215,2802539,2797381
동두천시,2022-06,1814,3961350,2204496
동두천시,2022-05,433,2139459,2120578
동두천시,2022-04,503,2004068,1975849
동두천시,2022-03,502,1776568,1856081
동두천시,2022-02,412,1455419,1639024
동두천시,2022-01,510,2068264,1999176
동두천시,2021-12,814,2038965,2166765
동두천시,2021-11,1634,2069221,1928420
동두천시,2021-10,1228,1781527,1352069
동두천시,2021-09,1782,1574349,1811759
동두천시,2021-08,753,1574349,1811759
동두천시,2021-07,832,1574349,1811759
동두천시,2021-06,2065,2276130,2201876
동두천시,2021-05,704,1782354,1678906
동두천시,2021-04,1447,1724073,1671995
동두천시,2021-03,1650,1015736,1480880
동두천시,2021-02,4916,1015736,1480880
동두천시,2021-01,1442,2146587,1370105
동두천시,2020-12,2279,1600360,1345105
동두천시,2020-11,5296,1055921,922641
동두천시,2020-10,849,959612,999513
동두천시,2020-09,999,1045748,946626
동두천시,2020-08,454,677602,769322
동두천시,2020-07,1351,951445,972710
동두천시,2020-06,698,752878,739008
동두천시,2020-05,4833,844959,779316
동두천시,2020-04,11736,631372,398864
동두천시,2020-03,1510,378383,380922
동두천시,2020-02,415,336796,356096
동두천시,2020-01,580,495930,388233
동두천시,2019-12,428,461713,341334
동두천시,2019-11,261,224000,305841
동두천시,2019-10,588,438698,286950
동두천시,2019-09,421,250040,194088
동두천시,2019-08,262,102446,205038
동두천시,2019-07,590,344792,251182
동두천시,2019-06,337,113310,210580
동두천시,2019-05,1260,383375,244807
동두천시,2019-04,1245,264234,66999
동두천시,2019-03,,,
동두천시,2019-02,,,
동두천시,2019-01,,,
부천시,2022-12,4943,32124304,29482965
부천시,2022-11,4162,27374615,28043430
부천시,2022-10,4972,29709048,28935893
부천시,2022-09,5077,30279384,29585665
부천시,2022-08,6899,28110444,28504951
부천시,2022-07,6036,32124304,29482965
부천시,2022-06,4627,26933193,26750866
부천시,2022-05,4722,27059078,28293292
부천시,2022-04,5106,28173912,26795965
부천시,2022-03,4223,27556787,24048383
부천시,2022-02,5363,20392699,20051841
부천시,2022-01,5960,21482454,24632976
부천시,2021-12,7669,24138981,24350771
부천시,2021-11,14187,23592185,21522530
부천시,2021-10,17573,19007845,16906147
부천시,2021-09,18430,19371504,23618316
부천시,2021-08,7230,19371504,23618316
부천시,2021-07,8079,19371504,23618316
부천시,2021-06,29140,31917789,28501608
부천시,2021-05,7876,22891806,22884674
